index,true_class,pred_class,confidence,true_class_prob,confusion_margin
87,jog,walk,0.99990714,7.526375e-05,0.99983186
88,jog,walk,0.9998286,0.00015541645,0.9996732
44,walk,stand,0.9994505,0.00051835953,0.9989321
89,jog,walk,0.9993191,0.00052492233,0.99879414
1152,walk,stand,0.9983718,0.001590027,0.99678177
86,jog,walk,0.99819046,0.0016814844,0.99650896
925,walk,stand,0.9972229,0.002406839,0.99481606
157,walk,stand,0.9931619,0.006438245,0.98672366
156,walk,stand,0.99288976,0.0065720608,0.9863177
43,walk,stand,0.9927337,0.0071013714,0.98563236
1151,walk,stand,0.9922593,0.007634943,0.9846244
155,walk,stand,0.99088925,0.008238423,0.9826508
926,walk,stand,0.9900602,0.008875528,0.98118466
869,stand,walk,0.9898375,0.009705105,0.9801324
57,jog,walk,0.98856914,0.008754261,0.9798149
373,walk,stand,0.98687124,0.012492841,0.9743784
374,walk,stand,0.9866297,0.012621448,0.97400826
158,walk,stand,0.9804606,0.018774653,0.96168596
58,jog,walk,0.9797775,0.018611945,0.96116555
375,walk,stand,0.97940683,0.01942635,0.9599805
