index,true_class,pred_class,confidence,true_class_prob,confusion_margin
348,stand,walk,0.999689,0.00026739005,0.9994216
349,stand,walk,0.9996604,0.0003178517,0.9993425
347,stand,walk,0.999603,0.00030301858,0.99929994
350,stand,walk,0.9938012,0.0059250793,0.9878761
479,jog,walk,0.99351776,0.0011716131,0.99234617
648,walk,stand,0.98442984,0.012924452,0.9715054
649,walk,stand,0.98403674,0.0139777865,0.970059
652,walk,stand,0.9797748,0.0140563715,0.9657184
650,walk,stand,0.97606987,0.021386473,0.9546834
365,stand,jog,0.9728907,0.026107077,0.9467836
651,walk,stand,0.9711157,0.0242255,0.94689023
478,jog,walk,0.95162493,0.018912159,0.9327128
647,walk,stand,0.9393052,0.05343814,0.88586706
351,stand,walk,0.93345,0.06506356,0.86838645
104,jog,stand,0.93318886,0.044195946,0.8889929
480,jog,walk,0.89682883,0.04458174,0.8522471
60,stand,walk,0.89554334,0.10392002,0.7916233
646,walk,stand,0.8416664,0.13395901,0.7077074
468,walk,stand,0.8278167,0.14158702,0.6862297
572,stand,walk,0.804685,0.19387445,0.6108105
