index,true_class,pred_class,confidence,true_class_prob,confusion_margin
925,walk,stand,0.9981187,0.0013895275,0.9967292
43,walk,stand,0.9980276,0.0013080604,0.99671954
44,walk,stand,0.9978119,0.0014577338,0.99635416
926,walk,stand,0.99731284,0.002036062,0.9952768
987,jog,walk,0.9963887,0.0012777294,0.9951109
42,walk,stand,0.99573696,0.003073788,0.99266315
986,jog,walk,0.9936016,0.0030568999,0.99054474
988,jog,walk,0.9927226,0.0023694166,0.99035317
742,stand,walk,0.9908914,0.0068426616,0.9840487
927,walk,stand,0.9897955,0.008380026,0.9814155
431,stand,walk,0.9895527,0.008035628,0.9815171
41,walk,stand,0.9895084,0.008467455,0.98104095
1019,walk,stand,0.9873969,0.010411097,0.9769858
812,walk,stand,0.9869429,0.011123668,0.97581923
813,walk,stand,0.9867932,0.0112651,0.9755281
814,walk,stand,0.98660314,0.011448497,0.97515464
815,walk,stand,0.9861428,0.011852581,0.97429025
816,walk,stand,0.98343325,0.014240359,0.96919286
155,walk,stand,0.98137546,0.015656415,0.96571904
817,walk,stand,0.97964054,0.017568719,0.96207184
