index,true_class,pred_class,confidence,true_class_prob,confusion_margin
44,walk,stand,0.99999917,8.188253e-07,0.99999833
869,stand,walk,0.9999888,1.0694056e-05,0.9999781
43,walk,stand,0.99997926,2.011435e-05,0.9999592
870,stand,walk,0.9999479,5.0981824e-05,0.99989694
373,walk,stand,0.9999312,6.3708656e-05,0.9998675
925,walk,stand,0.99981683,0.0001693178,0.9996475
374,walk,stand,0.9997707,0.00021418225,0.99955654
375,walk,stand,0.99957997,0.00039488068,0.9991851
926,walk,stand,0.9994671,0.0004989294,0.9989681
1152,walk,stand,0.9993949,0.000603094,0.9987918
89,jog,walk,0.99881977,0.0008385196,0.99798125
871,stand,walk,0.99842983,0.0015668643,0.99686295
990,jog,walk,0.9973731,0.002072433,0.99530065
1151,walk,stand,0.9968437,0.0031504394,0.99369323
487,stand,walk,0.9956453,0.0040606675,0.9915846
989,jog,walk,0.99525696,0.0042115375,0.9910454
918,stand,walk,0.9939996,0.004621383,0.9893782
376,walk,stand,0.98933464,0.0104449475,0.9788897
488,stand,walk,0.98364186,0.015689446,0.96795243
42,walk,stand,0.98317194,0.016793914,0.96637803
