index,true_class,pred_class,confidence,true_class_prob,confusion_margin
225,stand,walk,0.9999994,2.8376928e-07,0.9999991
224,stand,walk,0.9999994,1.0852162e-07,0.9999993
226,stand,walk,0.99999225,6.852624e-06,0.9999854
326,stand,jog,0.9997601,0.0002399624,0.9995201
420,walk,stand,0.99956495,0.000428905,0.99913603
421,walk,stand,0.9989287,0.0010505418,0.9978782
419,walk,stand,0.9986816,0.001298207,0.9973834
327,stand,jog,0.9958924,0.0041057887,0.9917866
418,walk,stand,0.9938352,0.006044776,0.9877904
227,stand,walk,0.9912952,0.008550011,0.98274523
302,walk,stand,0.98818356,0.011452186,0.97673136
0,walk,stand,0.96986806,0.029481996,0.94038606
417,walk,stand,0.95519084,0.043511182,0.9116796
259,stand,walk,0.9547051,0.005629935,0.94907516
107,walk,stand,0.89611685,0.09538411,0.80073273
328,stand,jog,0.85200936,0.14798033,0.704029
1,walk,stand,0.8136508,0.18345436,0.63019645
138,stand,walk,0.7445722,0.25431558,0.49025664
181,stand,walk,0.56658965,0.41117766,0.15541199
370,stand,walk,0.5478008,0.44259816,0.105202615
