index,true_class,pred_class,confidence,true_class_prob,confusion_margin
108,walk,stand,0.9951916,0.00041177886,0.99477977
697,walk,stand,0.9945716,0.0004911923,0.9940804
109,walk,stand,0.9944406,0.00050335925,0.99393725
110,walk,stand,0.99343187,0.000586286,0.9928456
29,walk,stand,0.9916291,0.0010819653,0.9905472
30,walk,stand,0.9891004,0.002762087,0.9863383
111,walk,stand,0.98838997,0.0011872051,0.98720276
632,walk,stand,0.9825445,0.0040490497,0.9784954
633,walk,stand,0.9680185,0.009750521,0.9582679
698,walk,stand,0.9581887,0.02132022,0.9368685
258,walk,stand,0.93110543,0.03495553,0.8961499
28,walk,stand,0.92424667,0.039531406,0.88471526
676,jog,walk,0.92255175,0.034388408,0.8881633
594,stand,walk,0.9163168,0.058500882,0.8578159
677,jog,walk,0.915791,0.045108538,0.8706824
376,walk,stand,0.90325665,0.06316705,0.8400896
259,walk,stand,0.8926085,0.06109373,0.8315148
508,stand,walk,0.88889974,0.07735769,0.81154203
260,walk,stand,0.8883959,0.06327504,0.82512087
786,walk,stand,0.8846349,0.07951652,0.8051184
