index,true_class,pred_class,confidence,true_class_prob,confusion_margin
348,stand,walk,0.9999994,6.158191e-07,0.9999988
349,stand,walk,0.9999988,1.135608e-06,0.9999977
347,stand,walk,0.9999918,7.5603602e-06,0.9999842
350,stand,walk,0.9998423,0.00015679223,0.99968547
401,stand,walk,0.9985499,0.00069997174,0.9978499
402,stand,walk,0.9858973,0.009304044,0.97659326
60,stand,walk,0.9687418,0.031227088,0.93751466
351,stand,walk,0.966334,0.033516053,0.93281794
166,walk,stand,0.9352164,0.05662602,0.8785904
652,walk,stand,0.89448917,0.09119371,0.80329543
505,stand,jog,0.8911626,0.10620469,0.7849579
281,stand,walk,0.8813008,0.117469154,0.7638317
211,stand,walk,0.87377936,0.12364376,0.7501356
365,stand,jog,0.86820364,0.05802973,0.8101739
212,stand,walk,0.85399723,0.14368618,0.71031106
104,jog,stand,0.84246856,0.05873814,0.78373045
400,jog,walk,0.8025806,0.16569234,0.63688827
468,walk,stand,0.7907663,0.19947176,0.5912945
403,stand,walk,0.790423,0.18619066,0.6042323
651,walk,stand,0.76183164,0.22315592,0.5386757
