index,true_class,pred_class,confidence,true_class_prob,confusion_margin
236,stand,walk,0.9999968,9.86336e-07,0.99999577
237,stand,walk,0.9999931,5.124289e-06,0.99998796
310,walk,jog,0.9960561,0.0012856217,0.99477047
235,stand,walk,0.9948508,0.00016319401,0.9946876
272,stand,jog,0.9942247,0.004466681,0.9897581
271,jog,walk,0.9922693,0.007010134,0.9852591
438,walk,stand,0.9864407,0.013048396,0.9733923
184,walk,jog,0.98143655,0.013209059,0.9682275
194,stand,walk,0.96849656,0.031155096,0.93734145
344,stand,jog,0.92644995,0.07175623,0.8546937
442,walk,stand,0.91469216,0.061254553,0.8534376
439,walk,stand,0.902353,0.09559521,0.8067578
317,walk,stand,0.900897,0.09557552,0.8053215
238,stand,walk,0.87113416,0.12731552,0.74381864
411,walk,stand,0.84870225,0.15107831,0.69762397
190,stand,walk,0.845611,0.13914187,0.7064691
437,walk,stand,0.7938673,0.20035405,0.59351325
112,walk,stand,0.7907636,0.20389001,0.5868736
323,jog,stand,0.7152873,0.14681399,0.56847334
433,walk,stand,0.6262298,0.36789778,0.25833204
