index,true_class,pred_class,confidence,true_class_prob,confusion_margin
373,walk,stand,0.99998605,4.6911036e-06,0.99998134
925,walk,stand,0.9999802,1.4637785e-05,0.99996555
374,walk,stand,0.9999603,1.921233e-05,0.9999411
965,walk,stand,0.99983084,0.00015797993,0.9996729
375,walk,stand,0.9996723,0.00023023979,0.99944204
964,walk,stand,0.999663,0.00031139332,0.9993516
869,stand,walk,0.99965346,0.00034428743,0.9993092
702,walk,stand,0.9986658,0.0012944423,0.9973714
425,walk,stand,0.99844545,0.0015050181,0.99694043
870,stand,walk,0.9972651,0.0027291724,0.9945359
926,walk,stand,0.9963245,0.0036039497,0.99272054
986,jog,walk,0.99514365,0.0019794048,0.99316424
987,jog,walk,0.9937714,0.0030374038,0.990734
966,walk,stand,0.99167645,0.008224302,0.98345214
376,walk,stand,0.9913089,0.007958709,0.9833502
426,walk,stand,0.9905081,0.009391397,0.98111665
1152,walk,stand,0.9885557,0.011290096,0.97726566
701,walk,stand,0.98793125,0.011993118,0.97593814
1151,walk,stand,0.9856733,0.014119056,0.9715543
424,walk,stand,0.98490256,0.014788276,0.9701143
