index,true_class,pred_class,confidence,true_class_prob,confusion_margin
30,walk,stand,0.97133946,0.01449579,0.9568437
29,walk,stand,0.9598231,0.019655796,0.94016725
594,stand,walk,0.91478264,0.047206644,0.867576
334,stand,walk,0.9079065,0.05329812,0.85460836
595,stand,walk,0.89445233,0.058963135,0.8354892
28,walk,stand,0.88073194,0.085036784,0.7956952
258,walk,stand,0.86841255,0.0790569,0.78935564
43,jog,walk,0.84471655,0.072994225,0.7717223
335,stand,walk,0.84397775,0.09871073,0.74526703
27,walk,stand,0.8344293,0.13613737,0.69829196
676,jog,walk,0.83261967,0.06397858,0.7686411
42,jog,walk,0.8163963,0.10781542,0.70858085
296,walk,stand,0.8156291,0.13180292,0.6838262
40,jog,walk,0.80952317,0.12076599,0.6887572
60,jog,walk,0.8081221,0.13782573,0.6702964
508,stand,walk,0.80506206,0.12695354,0.6781085
675,jog,walk,0.8002599,0.07500681,0.7252531
147,stand,walk,0.7883003,0.13349134,0.65480894
182,stand,walk,0.779442,0.113109864,0.6663321
181,stand,walk,0.779149,0.113596715,0.66555226
