index,true_class,pred_class,confidence,true_class_prob,confusion_margin
89,jog,walk,0.9829747,0.012147283,0.9708274
869,stand,walk,0.97666967,0.013115626,0.963554
925,walk,stand,0.97464097,0.022329858,0.9523111
373,walk,stand,0.97188866,0.025388459,0.9465002
870,stand,walk,0.9617282,0.026008466,0.9357197
374,walk,stand,0.96105194,0.03536606,0.9256859
88,jog,walk,0.957983,0.029356873,0.9286261
894,jog,walk,0.94364494,0.03855294,0.905092
895,jog,walk,0.9376145,0.05212808,0.8854864
742,stand,walk,0.93653035,0.03622476,0.90030557
157,walk,stand,0.92804193,0.053580794,0.8744611
375,walk,stand,0.92737186,0.06638132,0.8609905
893,jog,walk,0.92516243,0.045009017,0.8801534
887,jog,walk,0.92394423,0.03905071,0.88489354
888,jog,walk,0.92381555,0.039031737,0.8847838
885,jog,walk,0.923278,0.03955858,0.8837194
926,walk,stand,0.9232453,0.069558114,0.85368717
886,jog,walk,0.9232371,0.039583165,0.88365394
156,walk,stand,0.92198676,0.0596771,0.86230963
889,jog,walk,0.9214724,0.040501144,0.88097125
