index,true_class,pred_class,confidence,true_class_prob,confusion_margin
986,jog,walk,1.0,2.004721e-08,1.0
988,jog,walk,1.0,2.7518866e-12,1.0
987,jog,walk,1.0,2.4251073e-11,1.0
989,jog,walk,1.0,1.623608e-09,1.0
44,walk,stand,0.99999464,2.9288347e-07,0.99999434
870,stand,walk,0.99997175,2.5783607e-05,0.99994594
871,stand,walk,0.9999702,2.7383845e-05,0.99994284
264,walk,jog,0.9999628,6.0367493e-06,0.9999568
43,walk,stand,0.9999608,4.5577895e-06,0.99995625
242,stand,walk,0.99995816,3.210391e-05,0.99992603
241,stand,walk,0.9999566,3.3337365e-05,0.9999233
243,stand,walk,0.99995553,3.423342e-05,0.9999213
240,stand,walk,0.9999552,3.4428966e-05,0.9999207
261,stand,walk,0.9999548,3.5016652e-05,0.99991983
260,stand,walk,0.9999541,3.5666868e-05,0.99991846
265,walk,jog,0.9999536,1.7823251e-05,0.9999358
244,stand,walk,0.9999529,3.6337566e-05,0.99991655
246,stand,walk,0.9999522,3.712076e-05,0.99991506
239,stand,walk,0.9999516,3.7389163e-05,0.9999142
259,stand,walk,0.9999516,3.7642105e-05,0.99991393
