index,true_class,pred_class,confidence,true_class_prob,confusion_margin
236,stand,walk,1.0,4.1417342e-10,1.0
235,stand,walk,1.0,4.4643667e-09,1.0
326,jog,walk,1.0,1.1471785e-09,1.0
325,jog,walk,1.0,3.074987e-11,1.0
324,jog,walk,0.9999999,1.2214073e-09,0.9999999
237,stand,walk,0.9999994,6.3847415e-07,0.99999875
271,jog,walk,0.99999094,4.0542172e-06,0.9999869
323,jog,walk,0.99985147,3.1754837e-05,0.9998197
257,jog,walk,0.9998191,4.84476e-05,0.99977064
343,stand,jog,0.99644643,0.003539533,0.99290687
344,stand,jog,0.9945016,0.0054918397,0.98900974
278,walk,stand,0.9729637,0.02632883,0.9466349
146,stand,walk,0.9727058,0.027247129,0.94545865
238,stand,walk,0.9194149,0.0805419,0.83887297
247,stand,jog,0.9155612,0.07740345,0.8381578
193,stand,jog,0.8950053,0.1028653,0.79214
345,stand,jog,0.8557675,0.14418265,0.7115848
192,stand,jog,0.847968,0.148709,0.699259
112,walk,stand,0.8328304,0.15897624,0.6738542
317,walk,stand,0.82696444,0.16244276,0.6645217
