index,true_class,pred_class,confidence,true_class_prob,confusion_margin
925,walk,stand,0.9999826,1.7077267e-05,0.9999655
986,jog,walk,0.99981886,5.953747e-05,0.9997593
87,jog,walk,0.99980253,0.00012672409,0.9996758
926,walk,stand,0.99980015,0.00019803556,0.99960214
985,jog,walk,0.99975294,0.00012306237,0.99962986
987,jog,walk,0.99974424,8.050733e-05,0.9996637
88,jog,walk,0.999666,0.00016696272,0.999499
988,jog,walk,0.99948645,0.00024814598,0.9992383
60,jog,walk,0.9991302,0.0006403241,0.99848986
61,jog,walk,0.9990791,0.000556756,0.99852234
898,jog,walk,0.9989537,0.0005651942,0.9983885
373,walk,stand,0.99891424,0.001017446,0.9978968
375,walk,stand,0.9987469,0.0011530013,0.9975939
374,walk,stand,0.9986093,0.0012928887,0.9973164
899,jog,walk,0.99759394,0.001544356,0.9960496
59,jog,walk,0.99744785,0.00217966,0.99526817
897,jog,walk,0.99662006,0.00219962,0.9944204
487,stand,walk,0.99607974,0.003523468,0.9925563
44,walk,stand,0.99534214,0.0022082184,0.9931339
702,walk,stand,0.9952709,0.0042837714,0.9909871
