index,true_class,pred_class,confidence,true_class_prob,confusion_margin
1152,walk,stand,0.99383485,0.0057712155,0.98806363
155,walk,stand,0.9901162,0.007986457,0.9821297
925,walk,stand,0.98123115,0.01549738,0.96573377
869,stand,walk,0.9744162,0.025016917,0.9493993
487,stand,walk,0.9700786,0.028006686,0.9420719
156,walk,stand,0.9645882,0.028213806,0.9363744
751,walk,stand,0.9592633,0.039092205,0.92017114
95,walk,jog,0.9566359,0.018566132,0.93806976
425,walk,stand,0.9533485,0.045988277,0.90736026
870,stand,walk,0.9532115,0.04598321,0.9072283
0,walk,jog,0.95079744,0.02018529,0.93061215
752,walk,stand,0.9441823,0.05354376,0.89063853
1151,walk,stand,0.941346,0.05674075,0.8846052
373,walk,stand,0.9394665,0.051171932,0.8882945
1,walk,jog,0.9278086,0.03140879,0.8963998
926,walk,stand,0.916045,0.07221455,0.84383047
1019,walk,stand,0.9154588,0.07586838,0.83959043
918,stand,walk,0.9115135,0.018395685,0.89311785
59,jog,walk,0.90964884,0.056436356,0.8532125
919,stand,walk,0.9076469,0.077758335,0.8298886
