index,true_class,pred_class,confidence,true_class_prob,confusion_margin
349,stand,walk,0.9999995,7.3963264e-08,0.99999946
348,stand,walk,0.9999994,1.2509996e-08,0.9999994
347,stand,walk,0.99995875,6.8470615e-07,0.9999581
214,stand,walk,0.999954,4.5983204e-05,0.99990803
505,stand,jog,0.99992085,7.919013e-05,0.99984163
350,stand,walk,0.9997688,0.00021526388,0.9995535
213,stand,walk,0.9997682,0.00023184507,0.99953634
215,stand,walk,0.99969244,0.00030759172,0.9993848
652,walk,stand,0.999403,0.00059066754,0.9988123
459,walk,jog,0.999366,0.0004792438,0.99888676
650,walk,stand,0.9989611,0.0010329376,0.99792814
651,walk,stand,0.9989492,0.0010406068,0.99790865
649,walk,stand,0.99843985,0.0015523767,0.99688745
460,walk,jog,0.9971301,0.0027475995,0.9943825
105,stand,jog,0.9966377,0.0029269715,0.99371076
648,walk,stand,0.9957865,0.004161389,0.9916251
468,walk,stand,0.9951106,0.0048213145,0.9902893
458,walk,jog,0.9946188,0.0017673132,0.99285144
164,walk,stand,0.9937045,0.006247684,0.9874568
165,walk,stand,0.9879814,0.011862755,0.9761186
