index,true_class,pred_class,confidence,true_class_prob,confusion_margin
348,stand,walk,1.0,5.159907e-08,0.99999994
349,stand,walk,0.99999964,3.0398513e-07,0.99999934
347,stand,walk,0.9999987,2.828008e-07,0.9999984
350,stand,walk,0.9997551,0.0002448404,0.9995102
478,jog,walk,0.9972938,0.0012274681,0.99606633
648,walk,stand,0.9958578,0.0038184666,0.9920393
649,walk,stand,0.9955902,0.0043061366,0.9912841
647,walk,stand,0.9936167,0.005591642,0.98802507
646,walk,stand,0.99161166,0.0055947513,0.9860169
166,walk,stand,0.9914255,0.0084354505,0.9829901
650,walk,stand,0.9913003,0.008600779,0.9826995
165,walk,stand,0.9900726,0.009841005,0.9802316
651,walk,stand,0.98412263,0.015682569,0.96844006
477,jog,walk,0.9838203,0.0055402387,0.97828007
652,walk,stand,0.98290294,0.016869439,0.9660335
479,jog,walk,0.97378564,0.021882717,0.9519029
645,walk,stand,0.96707255,0.0289818,0.93809074
505,stand,jog,0.96560395,0.034336586,0.9312674
210,jog,stand,0.9622769,9.44583e-05,0.9621824
401,stand,walk,0.960439,0.012847118,0.9475919
