index,true_class,pred_class,confidence,true_class_prob,confusion_margin
480,walk,stand,0.93661296,0.02657562,0.91003734
29,walk,stand,0.9364243,0.005405851,0.9310185
28,walk,stand,0.9287804,0.022763286,0.90601707
27,walk,stand,0.9069797,0.050393023,0.85658664
30,walk,stand,0.8827095,0.012063643,0.8706459
786,walk,stand,0.8395207,0.11395659,0.7255641
594,stand,walk,0.8273915,0.09801193,0.7293796
293,walk,stand,0.8066143,0.11345983,0.69315445
292,walk,stand,0.80168283,0.12892714,0.6727557
26,walk,stand,0.7905575,0.13622461,0.6543329
334,stand,walk,0.78458554,0.13738815,0.64719737
595,stand,walk,0.77993566,0.13482377,0.6451119
676,jog,walk,0.7772915,0.11558316,0.6617083
675,jog,walk,0.7712026,0.115838096,0.6553645
147,stand,walk,0.68258977,0.2054629,0.47712687
779,walk,stand,0.5989939,0.34400588,0.254988
778,walk,stand,0.58765113,0.32934684,0.2583043
785,walk,stand,0.567343,0.36371353,0.20362946
479,walk,stand,0.56674945,0.3711372,0.19561225
60,jog,walk,0.5505349,0.33232903,0.21820587
