index,true_class,pred_class,confidence,true_class_prob,confusion_margin
987,jog,walk,0.9999889,1.1125788e-05,0.99997777
988,jog,walk,0.9999819,1.8072766e-05,0.9999638
986,jog,walk,0.99996114,3.8834813e-05,0.9999223
812,walk,stand,0.9999193,6.987141e-05,0.99984944
813,walk,stand,0.99991155,7.688611e-05,0.99983466
814,walk,stand,0.9998903,9.619656e-05,0.9997941
40,walk,stand,0.9998753,0.00011382032,0.99976146
44,walk,stand,0.99985206,0.0001194117,0.9997327
815,walk,stand,0.99982136,0.00015920532,0.99966216
43,walk,stand,0.9998186,0.00015544824,0.9996632
869,stand,walk,0.9997428,4.8942216e-05,0.9996939
41,walk,stand,0.99970156,0.00026523392,0.9994363
42,walk,stand,0.9995394,0.00040889595,0.9991305
742,stand,walk,0.9995018,0.00048370258,0.99901813
870,stand,walk,0.99948525,0.00022908463,0.9992562
816,walk,stand,0.99939525,0.0005563252,0.9988389
985,jog,walk,0.99902,0.0009793749,0.9980406
989,jog,walk,0.9986695,0.0013303584,0.9973391
31,walk,stand,0.9978254,0.002082995,0.9957424
817,walk,stand,0.9972179,0.002633613,0.99458426
