index,true_class,pred_class,confidence,true_class_prob,confusion_margin
324,stand,walk,1.0,2.6326463e-10,1.0
325,stand,walk,1.0,3.5477878e-09,1.0
441,jog,walk,1.0,5.662886e-09,1.0
444,jog,walk,1.0,4.6420383e-09,1.0
443,jog,walk,1.0,1.307933e-11,1.0
442,jog,walk,1.0,9.610581e-12,1.0
326,stand,walk,0.9999999,7.8341046e-08,0.9999998
327,stand,walk,0.9999943,5.569201e-06,0.99998873
440,jog,walk,0.99950564,0.0004939465,0.9990117
607,walk,stand,0.9980116,0.001977423,0.99603415
606,walk,stand,0.9904018,0.009514973,0.9808868
328,stand,walk,0.98537236,0.01462063,0.97075176
373,stand,jog,0.9746572,0.020901754,0.95375544
605,walk,stand,0.88232183,0.11628661,0.7660352
50,walk,stand,0.6111524,0.38878378,0.22236863
